FIPS,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Excessive Drinking,# Alcohol-Impaired Driving Deaths,Teen Birth Rate,% Uninsured,% With Annual Mammogram,% Vaccinated,% Children in Poverty,80th Percentile Income,20th Percentile Income,% Children in Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
53045,20.343554941,4.7037705367,4.8278671475,5.7149362477,18.1723481,37.4,7.7,22.1,20.60436704,10,29.648846475,10.192570767,42,43,21,107450,25216,23.20909971,219.64152536,5.4,16.518341654,75.915911032,50.5
53047,22.427140915,5.0873315362,4.7854460561,6.9666182874,18.748753365,32.2,7,21.9,18.218803902,20,36.963285625,14.416853373,32,26,21.9,86943,20069,30.087847731,175.70039472,6,17.335285505,76.758591935,20.5
53049,19.934969547,4.7604884544,4.7264476949,7.0422535211,18.587928308,38.1,6.3,25.8,20.561114171,6,23.00405954,10.709495708,40,42,17.6,92903,19013,15.69416499,156.95933546,5,13.716562322,74.838443558,28.8
53051,18.786326042,4.8031026831,4.7062852776,7.1256038647,17.882402157,41.6,6.6,27.7,18.982441346,10,22.966134683,8.5376930064,35,30,26.9,93773,23479,27.258506062,130.26819923,8.3,14.285714286,76.921411561,42.9
53053,16.992284996,4.2695997603,4.1523695661,6.7196794189,13.946178043,31.7,7.7,18.4,17.955988919,97,18.372688857,6.7699262362,36,48,11.8,129947,32932,20.843353008,457.81824088,7,16.975131057,77.860421218,47.1
53055,12.995532507,3.4236397102,3.8419740121,3.3653846154,11.627500288,20.1,8.7,14.1,21.729534303,3,5.909666526,9.8262271587,37,42,11.9,125052,27660,18.901890189,52.486955448,5.7,19.430051813,64.703577958,7.2
53057,16.43710976,4.0897738884,4.4644047773,5.7744090954,15.914929555,30.2,7.8,16.6,19.353204628,22,20.769230769,9.4193664005,42,47,16.2,120366,30781,21.846232216,195.35105613,5.3,20.078158006,79.070432095,32
53059,16.993227837,4.3361975345,4.4242883982,6.6365007541,16.874329906,34.8,8.3,19.1,19.475815333,9,17.124831005,7.747458534,39,30,15.7,117242,25813,29.656096472,87.719298246,5.4,16.755037116,79.227147901,48.4
53061,15.329749134,3.8657782698,4.1406636226,6.1810479245,12.931789268,30.3,8.6,17.3,17.105271309,64,12.16957416,7.1621594685,38,50,8.1,152654,40142,18.030924651,204.59239524,6.5,16.140258371,74.291968603,48.1
53063,16.392336866,4.3787058253,4.5598103181,7.1700019242,15.768978377,29.1,7.9,17.8,19.587197087,68,17.291302448,6.5295097185,47,48,13.6,108955,25179,21.011541073,352.81718091,7.6,16.379907177,77.397048917,24.3
53065,18.678460166,4.8754046715,4.8200074923,6.208499336,19.191913741,30.2,6.7,22.7,19.23961189,10,19.812196884,9.8563168039,31,28,21.6,95970,21255,15.886095755,105.31617748,8.2,14.428286285,79.926940639,40.5
53067,15.425943941,3.8449534817,4.0922699538,6.2871629408,13.140704641,30.1,8,14.4,17.320030491,31,15.571501421,6.4688011417,36,47,11.8,128041,32448,20.09710998,237.23320524,6.4,15.598230255,78.932904299,33.3
